t,id,state,state_time,face_mode,need_move,plant,bond,solid,slot_dist,slot_locked,mag,heading_deg,want_deg,travel_deg,unit_err_deg,travel_err_deg,reason
15.0,13,turning,0.4,unit,0,1,1,1,0.369,1,0.364,28.1,0.0,163.0,28.1,134.9,plant_dress_turn
15.0,26,turning,0.333,unit,0,1,1,1,0.308,1,0.321,14.1,0.0,97.7,14.1,83.7,plant_dress_turn
15.0,33,turning,0.2,unit,0,1,1,1,0.342,1,0.251,331.9,0.0,264.1,28.1,67.8,plant_dress_turn
15.5,31,turning,0.1,travel,1,0,1,0,0.271,1,1.065,21.1,121.6,121.6,21.1,100.6,travel_path:turning
16.0,9,turning,0.2,unit,0,1,1,1,0.383,1,0.565,28.1,0.0,80.2,28.1,52.1,plant_dress_turn
16.0,16,turning,0.2,unit,0,1,1,1,0.312,1,0.29,331.9,0.0,260.1,28.1,71.8,plant_dress_turn
16.0,23,turning,0.1,unit,0,1,1,1,0.172,1,0.591,7.0,0.0,105.4,7.0,98.4,plant_dress_turn
16.0,30,turning,0.2,unit,0,1,1,1,0.327,1,0.539,331.9,0.0,292.2,28.1,39.7,plant_dress_turn
16.5,0,turning,0.167,travel,1,0,1,0,0.411,1,0.855,21.1,116.2,116.2,21.1,95.1,travel_path:turning
16.5,7,turning,0.1,travel,1,0,1,0,0.409,1,1.46,338.9,267.6,267.6,21.1,71.3,travel_path:turning
16.5,21,turning,0.167,travel,1,0,1,0,0.219,1,1.436,338.9,248.7,248.7,21.1,90.2,travel_path:turning
17.0,6,turning,0.333,unit,0,1,1,1,0.4,1,0.191,14.1,0.0,76.8,14.1,62.8,plant_dress_turn
17.0,20,turning,0.2,travel,1,0,1,0,0.417,1,0.911,42.2,77.9,77.9,42.2,35.7,travel_path:turning
17.0,27,turning,0.333,travel,1,0,1,0,0.34,1,0.875,345.9,144.2,144.2,14.1,158.2,travel_path:turning
17.5,4,turning,0.1,travel,1,0,1,0,0.273,1,1.545,338.9,273.9,273.9,21.1,65.0,travel_path:turning
17.5,39,turning,0.167,travel,1,0,1,0,0.346,1,1.063,21.1,79.9,79.9,21.1,58.8,travel_path:turning
18.0,3,turning,0.2,unit,0,1,1,1,0.338,1,0.548,28.1,0.0,99.6,28.1,71.5,plant_dress_turn
18.0,38,turning,0.333,unit,0,1,1,1,0.234,1,0.189,345.9,0.0,261.4,14.1,84.5,plant_dress_turn
18.5,8,turning,0.1,travel,1,0,1,0,0.402,1,1.348,21.1,77.6,77.6,21.1,56.5,travel_path:turning
18.5,22,turning,0.133,travel,1,0,1,0,0.446,1,1.34,28.1,108.0,108.0,28.1,79.9,travel_path:turning
18.5,36,turning,0.167,travel,1,0,1,0,0.207,1,1.396,21.1,125.4,125.4,21.1,104.3,travel_path:turning
19.0,0,turning,0.333,unit,0,1,1,1,0.411,1,0.303,14.1,0.0,88.8,14.1,74.8,plant_dress_turn
19.0,7,turning,0.2,unit,0,1,1,0,0.409,1,0.769,331.9,0.0,230.3,28.1,101.5,plant_dress_turn
19.0,21,turning,0.2,unit,0,1,1,1,0.219,1,0.388,331.9,0.0,262.5,28.1,69.4,plant_dress_turn
19.5,12,turning,0.1,travel,1,0,1,0,0.287,1,1.433,338.9,285.2,285.2,21.1,53.7,travel_path:turning
19.5,19,turning,0.1,travel,1,0,1,0,0.292,1,1.503,21.1,101.5,101.5,21.1,80.4,travel_path:turning
19.5,20,turning,0.3,unit,0,1,1,1,0.417,1,0.626,35.1,0.0,124.5,35.1,89.4,plant_dress_turn
19.5,26,turning,0.1,travel,1,0,1,0,0.308,1,1.105,338.9,232.9,232.9,21.1,106.0,travel_path:turning
19.5,27,turning,0.5,unit,0,1,1,1,0.34,1,0.505,7.0,0.0,114.6,7.0,107.6,plant_dress_turn
19.5,33,turning,0.167,travel,1,0,1,0,0.342,1,1.249,21.1,61.8,61.8,21.1,40.7,travel_path:turning
20.0,4,turning,0.2,unit,0,1,1,0,0.273,1,0.744,331.9,0.0,302.7,28.1,29.1,plant_dress_turn
20.0,18,turning,0.333,unit,0,1,1,1,0.046,1,0.481,345.9,0.0,248.8,14.1,97.1,plant_dress_turn
20.0,32,turning,0.1,travel,1,0,1,0,0.396,1,0.903,338.9,220.4,220.4,21.1,118.5,travel_path:turning
20.5,2,turning,0.1,travel,1,0,1,0,0.24,1,1.286,21.1,79.7,79.7,21.1,58.6,travel_path:turning
20.5,16,turning,0.167,travel,1,0,1,0,0.312,1,1.108,21.1,107.1,107.1,21.1,86.0,travel_path:turning
20.5,37,turning,0.1,travel,1,0,1,0,0.363,1,1.222,338.9,276.8,276.8,21.1,62.1,travel_path:turning
21.0,15,turning,0.167,unit,0,1,1,1,0.24,1,0.496,338.9,0.0,280.0,21.1,58.9,plant_dress_turn
